Id,SalePrice
1461,129027.52
1462,165962.6
1463,187697.12
1464,190710.67
1465,180456.67
1466,181742.98
1467,171849.78
1468,173518.47
1469,177370.61
1470,127728.82
1471,200076.48
1472,96603.984
1473,101135.45
1474,156542.33
1475,137868.8
1476,406369.94
1477,255122.06
1478,299969.47
1479,247492.14
1480,456027.7
1481,336094.4
1482,204130.03
1483,168505.77
1484,165567.2
1485,174795.84
1486,197660.77
1487,370437.84
1488,235627.19
1489,215098.55
1490,212105.48
1491,187221.38
1492,91354.51
1493,190032.33
1494,291117.5
1495,292539.88
1496,236204.17
1497,186913.83
1498,161416.69
1499,162438.98
1500,157214.7
1501,183263.4
1502,157259.67
1503,320060.5
1504,234846.34
1505,225262.0
1506,187769.03
1507,233696.55
1508,199196.78
1509,165619.55
1510,149231.1
1511,142903.17
1512,160783.28
1513,150017.2
1514,174138.86
1515,183118.19
1516,168894.2
1517,163340.86
1518,130342.91
1519,226441.48
1520,136412.05
1521,142884.97
1522,165228.69
1523,114480.914
1524,122944.31
1525,129759.96
1526,114400.48
1527,109434.24
1528,128685.445
1529,148281.66
1530,176506.44
1531,96614.15
1532,98565.67
1533,148342.78
1534,118517.29
1535,157850.62
1536,114405.22
1537,63333.867
1538,168928.77
1539,209197.11
1540,89401.2
1541,144455.58
1542,140658.94
1543,230583.19
1544,77665.6
1545,105352.44
1546,131439.83
1547,139241.06
1548,135414.08
1549,119241.45
1550,146803.11
1551,109225.44
1552,142168.53
1553,157190.11
1554,114959.945
1555,172705.23
1556,81600.04
1557,107136.29
1558,97672.4
1559,88441.27
1560,144760.83
1561,147715.31
1562,126958.78
1563,121864.92
1564,155595.44
1565,152982.94
1566,225547.66
1567,72355.32
1568,236386.39
1569,137241.61
1570,126576.43
1571,123647.21
1572,148956.22
1573,247798.97
1574,120811.88
1575,215961.23
1576,235575.55
1577,204553.64
1578,151334.7
1579,141375.81
1580,186377.5
1581,148889.6
1582,126934.984
1583,335330.3
1584,232225.36
1585,140091.16
1586,75400.9
1587,94819.555
1588,164865.12
1589,91579.31
1590,136289.33
1591,94921.695
1592,120844.26
1593,131948.2
1594,133024.19
1595,113705.29
1596,243706.86
1597,199984.97
1598,196451.58
1599,193243.25
1600,175168.75
1601,68681.32
1602,114392.516
1603,83961.68
1604,272538.03
1605,238342.58
1606,172778.73
1607,151819.6
1608,218988.52
1609,192894.72
1610,162611.4
1611,140023.78
1612,163870.3
1613,160518.83
1614,125519.23
1615,87484.0
1616,70046.68
1617,90388.766
1618,129025.414
1619,144703.23
1620,170378.56
1621,137528.25
1622,145221.52
1623,296172.78
1624,211180.88
1625,124410.84
1626,167342.77
1627,189359.34
1628,284223.4
1629,178479.97
1630,353550.03
1631,218468.27
1632,238622.08
1633,168625.75
1634,186466.98
1635,182474.55
1636,156272.61
1637,178601.38
1638,202676.1
1639,180843.98
1640,253158.52
1641,179792.52
1642,222697.36
1643,216187.08
1644,222205.56
1645,183128.44
1646,162003.2
1647,161687.4
1648,132615.86
1649,140616.1
1650,118213.15
1651,123628.41
1652,95214.625
1653,96418.17
1654,148284.28
1655,149314.61
1656,147804.16
1657,149237.05
1658,147914.11
1659,143033.02
1660,150795.52
1661,442996.97
1662,416593.44
1663,375872.75
1664,457096.3
1665,317716.47
1666,330027.97
1667,392545.72
1668,327835.4
1669,308053.53
1670,339710.8
1671,261484.64
1672,477827.6
1673,298524.25
1674,257316.34
1675,188791.0
1676,193055.58
1677,219988.5
1678,459375.3
1679,398014.5
1680,326979.38
1681,259270.67
1682,300946.2
1683,179748.45
1684,168465.78
1685,175311.19
1686,168154.14
1687,166043.22
1688,184052.23
1689,188331.8
1690,188959.1
1691,176965.66
1692,271101.84
1693,170877.0
1694,182560.17
1695,167725.69
1696,269178.47
1697,177245.69
1698,369477.84
1699,350715.66
1700,256455.1
1701,264083.47
1702,243173.27
1703,247308.84
1704,292409.94
1705,223070.45
1706,468606.62
1707,227960.58
1708,219152.34
1709,269649.3
1710,222946.67
1711,262536.28
1712,237496.6
1713,253142.23
1714,225684.72
1715,210787.05
1716,181179.0
1717,167759.02
1718,131570.1
1719,203348.03
1720,235193.08
1721,167016.4
1722,120792.555
1723,157475.55
1724,206289.95
1725,235380.52
1726,193502.3
1727,157905.19
1728,173497.5
1729,169926.73
1730,174500.88
1731,119729.67
1732,137293.84
1733,119391.64
1734,117801.82
1735,127337.055
1736,118549.46
1737,389151.6
1738,218270.95
1739,269460.56
1740,211489.78
1741,198488.83
1742,183945.27
1743,178458.03
1744,308032.4
1745,230291.58
1746,215953.47
1747,224373.22
1748,226239.9
1749,153224.86
1750,133729.62
1751,237440.73
1752,119558.71
1753,141984.11
1754,199599.12
1755,167488.73
1756,131474.69
1757,122840.305
1758,150969.66
1759,165687.72
1760,163399.56
1761,143457.72
1762,178330.38
1763,177389.72
1764,112540.81
1765,151739.38
1766,168451.48
1767,210683.86
1768,145693.69
1769,177783.66
1770,145457.97
1771,128119.445
1772,135908.17
1773,138517.67
1774,112556.21
1775,139973.64
1776,125233.195
1777,118624.016
1778,137099.0
1779,118532.43
1780,175491.52
1781,132860.1
1782,96958.14
1783,140100.83
1784,103987.2
1785,128326.68
1786,139548.11
1787,176355.53
1788,52552.96
1789,95410.09
1790,87729.23
1791,186874.1
1792,156209.34
1793,135716.02
1794,147373.12
1795,137202.47
1796,127089.98
1797,119611.19
1798,126681.39
1799,116854.07
1800,135492.3
1801,131044.016
1802,144254.1
1803,146749.19
1804,148444.67
1805,133197.31
1806,116178.31
1807,133698.6
1808,118450.695
1809,121432.31
1810,154422.47
1811,106427.336
1812,104660.38
1813,122305.086
1814,100959.0
1815,55142.223
1816,102540.86
1817,115739.94
1818,139978.75
1819,121977.72
1820,51657.184
1821,116313.625
1822,156775.72
1823,32930.82
1824,144647.86
1825,137298.08
1826,106204.93
1827,103629.38
1828,136834.52
1829,116972.83
1830,149129.45
1831,148990.3
1832,85834.766
1833,139556.11
1834,124859.92
1835,147650.16
1836,127046.766
1837,83903.92
1838,124203.46
1839,94842.76
1840,168886.52
1841,153210.84
1842,78398.74
1843,130987.84
1844,140515.3
1845,142273.52
1846,147753.84
1847,158739.11
1848,50709.12
1849,109820.47
